slug,name,tier,type,curator,aliases
dui-sha-3-capturing-race3,對殺3 Capturing race3,premier,reference,Community,對殺3 Capturing race3
dui-sha-4-capturing-race4,對殺4 Capturing race4,premier,reference,Community,對殺4 Capturing race4
dui-sha-5-capturing-race5,對殺5 Capturing race5,curated,reference,Community,對殺5 Capturing race5
dui-sha-6-capturing-race6,對殺6 Capturing race6,curated,reference,Community,對殺6 Capturing race6
dui-sha-chang-xing-ru-men,对杀常形（入门）,curated,reference,Community,对杀常形（入门）
dutch-go-errors,Dutch Go Errors,curated,reference,Community,Dutch Go Errors
dutch-go-magazine-1969-70-7,Dutch Go Magazine 1969-70 (7),curated,reference,Community,Dutch Go Magazine  1969-70  (7) [Atorrante]
dutch-go-magazine-1970-71-8,Dutch Go Magazine 1970-71 (8),curated,reference,Community,Dutch Go Magazine 1970-71 (8) [Atorrante]
dutch-go-magazine-1978-79-16,Dutch Go Magazine 1978-79 (16),curated,reference,Community,Dutch Go Magazine 1978-79 (16)  [Atorrante]
dutch-go-magazine-1979-80-17,Dutch Go Magazine 1979-80 (17),curated,reference,Community,Dutch Go Magazine 1979-80 (17)  [Atorrante]
dutch-go-magazine-1980-81-18,Dutch Go Magazine 1980-81 (18),curated,reference,Community,Dutch Go Magazine 1980-81 (18)  [Atorrante]
dutch-go-magazine-1981-82-19,Dutch Go Magazine 1981-82 (19),curated,reference,Community,Dutch Go Magazine 1981-82 (19)  [Atorrante]
dutch-go-magazine-1982-83-20,Dutch Go Magazine 1982-83 (20),curated,reference,Community,Dutch Go Magazine 1982-83 (20)  [Atorrante]
dutch-go-magazine-1984-21,Dutch Go Magazine 1984 (21),curated,reference,Community,Dutch Go Magazine 1984 (21)  [Atorrante]
dutch-go-magazine-1986-23,Dutch Go Magazine 1986 (23),curated,reference,Community,Dutch Go Magazine 1986 (23)  [Atorrante]
dutch-go-magazine-1987-24,Dutch Go Magazine 1987 (24),premier,reference,Community,Dutch Go Magazine 1987 (24)  [Atorrante]
dutch-go-magazine-1988-25,Dutch Go Magazine 1988 (25),curated,reference,Community,Dutch Go Magazine 1988 (25)  [Atorrante]
dutch-go-magazine-1989-26,Dutch Go Magazine 1989 (26),curated,reference,Community,Dutch Go Magazine 1989 (26)  [Atorrante]
dutch-go-magazine-1990-27,Dutch Go Magazine 1990 (27),curated,reference,Community,Dutch Go Magazine 1990 (27)  [Atorrante]
dutch-go-magazine-1991-28,Dutch Go Magazine 1991 (28),curated,reference,Community,Dutch Go Magazine 1991 (28)  [Atorrante]
dutch-go-magazine-1992-29,Dutch Go Magazine 1992 (29),curated,reference,Community,Dutch Go Magazine 1992 (29)  [Atorrante]
dutch-go-magazine-1993-30,Dutch Go Magazine 1993 (30),curated,reference,Community,Dutch Go Magazine 1993 (30)  [Atorrante]
dutch-go-magazine-1994-31,Dutch Go Magazine 1994 (31),curated,reference,Community,Dutch Go Magazine 1994 (31)  [Atorrante]
dutch-go-magazine-1995-32,Dutch Go Magazine 1995 (32),curated,reference,Community,Dutch Go Magazine 1995 (32)  [Atorrante]
dutch-go-magazine-1996-33,Dutch Go Magazine 1996 (33),curated,reference,Community,Dutch Go Magazine 1996 (33)  [Atorrante]
dutch-go-magazine-1997-34,Dutch Go Magazine 1997 (34),curated,reference,Community,Dutch Go Magazine 1997 (34)  [Atorrante]
dutch-go-magazine-1998-35,Dutch Go Magazine 1998 (35),curated,reference,Community,Dutch Go Magazine 1998 (35)  [Atorrante]
dutch-go-magazine-2000-37,Dutch Go Magazine 2000 (37),curated,reference,Community,Dutch Go Magazine 2000 (37)  [Atorrante]
dutch-go-magazine-2001-38,Dutch Go Magazine 2001 (38),curated,reference,Community,Dutch Go Magazine 2001 (38)  [Atorrante]
dutch-go-magazine-2002-39,Dutch Go Magazine 2002 (39),curated,reference,Community,Dutch Go Magazine 2002 (39)  [Atorrante]
dutch-go-magazine-2003-40,Dutch Go Magazine 2003 (40),curated,reference,Community,Dutch Go Magazine 2003 (40)  [Atorrante]
dutch-go-magazine-2004-41,Dutch Go Magazine 2004 (41),curated,reference,Community,Dutch Go Magazine 2004 (41)  [Atorrante]
dutch-go-magazine-2005-42,Dutch Go Magazine 2005 (42),curated,reference,Community,Dutch Go Magazine 2005 (42)  [Atorrante]
dutch-go-magazine-2006-43,Dutch Go Magazine 2006 (43),curated,reference,Community,Dutch Go Magazine 2006 (43)  [Atorrante]
dutch-go-magazine-2008-45,Dutch Go Magazine 2008 (45),curated,reference,Community,Dutch Go Magazine 2008 (45) [Atorrante]
dutch-go-magazine-2009-46,Dutch Go Magazine 2009 (46),curated,reference,Community,Dutch Go Magazine 2009 (46) [Atorrante]
dutch-go-magazine-2010-47,Dutch Go Magazine 2010 (47),curated,reference,Community,Dutch Go Magazine 2010 (47) [Atorrante]
dutch-go-magazine-2014-16-bul-2-28-atorrante,Dutch Go Magazine 2014-16 Bul 2-28 (Atorrante),curated,reference,Community,Dutch Go Magazine 2014-16  Bul 2-28 (Atorrante)
dutch-go-magazine-2017-19-bul-29-58-atorrante,Dutch Go Magazine 2017-19 Bul 29-58 (Atorrante),curated,reference,Community,Dutch Go Magazine 2017-19  Bul 29-58 (Atorrante)
dutch-go-magazine-2020-22-bul-59-88-atorrante,Dutch Go Magazine 2020-22 Bul 59- 88 (Atorrante),premier,reference,Community,Dutch Go Magazine 2020-22  Bul  59- 88  (Atorrante)
dutch-go-magazine-2023-bul-88-107-atorrante,Dutch Go Magazine 2023 Bul 88- 107 (Atorrante),curated,reference,Community,Dutch Go Magazine 2023 Bul  88- 107  (Atorrante)
easy-12312312312,easy 12312312312,curated,reference,Community,easy 12312312312
easy-16,Easy 16,premier,reference,Community,Easy 16
easy-capture-difficulty-11k,"Easy Capture, Difficulty: 11k",premier,technique,Community,"Easy Capture, Difficulty: 11k"
easy-capture-for-beginner,Easy Capture for Beginner,curated,technique,Community,Easy Capture for Beginner
easy-haengma,Easy Haengma,curated,reference,Community,Easy Haengma
easy-peasy-go,Easy peasy GO,curated,reference,Community,Easy peasy GO
easy-peasy-puzzles,easy peasy puzzles,curated,reference,Community,easy peasy puzzles
easy-tsumego,Easy Tsumego,curated,technique,Community,Easy Tsumego
easydobs,easydobs,curated,reference,Community,easydobs
eat-me-if-you-can,eat me if you can,premier,reference,Community,eat me if you can
eat-time,EAT TIME!,curated,reference,Community,EAT TIME!
