priority_score,puzzle_count,ogs_id,status,slug_generated,slug_unidecode,cleaned_name,original_name,unidecode_name,tier,matched_to
0.5759,221,10879,new_entry,o-g-s-learn-to-play-go-part-5-17-5-34,o-g-s-learn-to-play-go-part-5-17-5-34,O.G.S.: Learn to play go part 5.17 ~ 5.34,O.G.S.: Learn to play go part 5.17 ~ 5.34 [Atorrante],O.G.S.: Learn to play go part 5.17 ~ 5.34 [Atorrante],premier,
0.5751,20,5365,slug_collision,ogs-unknown,thdl-ng,ทดลอง,ทดลอง,thdl`ng,premier,
0.575,29,1252,new_entry,ecole-de-go-de-rennes-vie-et-mort,ecole-de-go-de-rennes-vie-et-mort,Ecole de Go de Rennes - Vie et Mort,Ecole de Go de Rennes - Vie et Mort,Ecole de Go de Rennes - Vie et Mort,premier,
0.5746,41,9389,slug_collision,ogs-1,bazovye-formy-1,базовые формы 1,базовые формы 1,bazovye formy 1,premier,
0.5742,13,5564,new_entry,capture2,chi-zi-capture2,吃子 Capture2,吃子 Capture2,Chi Zi  Capture2,premier,
0.5737,37,2901,new_entry,101weiqi-double-atari,101weiqi-double-atari,101Weiqi : Double Atari,101Weiqi : Double Atari,101Weiqi : Double Atari,premier,
0.5726,112,9401,new_entry,the-art-of-go-series-i,the-art-of-go-series-i,The Art of Go Series I,The Art of Go Series I ,The Art of Go Series I ,premier,
0.5716,30,6233,new_entry,training-for-openings,bu-ju-xuan-dian-zong-he-training-for-openings,佈局選點綜合 Training for openings,佈局選點綜合 Training for openings,Bu Ju Xuan Dian Zong He  Training for openings,premier,
0.5712,43,4134,new_entry,beginner-go-concepts,beginner-go-concepts,Beginner Go Concepts,Beginner Go Concepts,Beginner Go Concepts,premier,
0.5707,210,3115,new_entry,maeda-intermediate-tsumego-isbn-4-488-00005-3,maeda-intermediate-tsumego-isbn-4-488-00005-3,Maeda Intermediate Tsumego - ISBN 4-488-00005-3,Maeda Intermediate Tsumego - ISBN 4-488-00005-3 [Atorrante],Maeda Intermediate Tsumego - ISBN 4-488-00005-3 [Atorrante],premier,
0.5706,75,7358,new_entry,20-16-2,20-16kiu-2,20-16кю 2,20-16кю 2,20-16kiu 2,premier,
0.5703,99,3461,new_entry,ecole-de-go-de-rennes-20k,ecole-de-go-de-rennes-20k,Ecole de Go de Rennes - 20k,Ecole de Go de Rennes - 20k,Ecole de Go de Rennes - 20k,premier,
0.5701,100,5061,new_entry,day-3,day-3,day 3,day 3,day 3,premier,
0.5701,21,1024,new_entry,joseki-every-ddk-should-know,joseki-every-ddk-should-know,Joseki Every DDK Should Know,Joseki Every DDK Should Know,Joseki Every DDK Should Know,premier,
0.5699,60,5840,already_matched,1-basic-double-gote-yose-value-1,ji-chu-shuang-hou-guan-zi-da-xiao-1-basic-double-gote-yose-value,基礎雙後官子大小 1 Basic Double Gote Yose value 1,基礎雙後官子大小 1 Basic Double Gote Yose value 1,Ji Chu Shuang Hou Guan Zi Da Xiao  1 Basic Double Gote Yose value 1,premier,endgame-problems
